entry_date,symbol,short_strike,long_strike,dte,entry_credit,entry_spot,entry_vix,collateral,max_loss,regime,market_condition,pos_key,remaining_qty,exit_date,pnl,exit_reason
2025-03-25T00:00:00,SPY,536.0,531.0,35.0,0.46120000000000005,570.4917602539062,17.149999618530273,1815.52,1815.52,normal,sideways,bt_ladder_1,4.0,2025-03-26T00:00:00,-113.51999999999992,ladder_stop_hard_stop
2025-04-14T00:00:00,SPY,494.0,484.0,50.0,2.1636000000000006,534.4654541015625,30.889999389648438,3134.56,3134.56,high_vol,downtrend,bt_ladder_2,4.0,2025-04-16T00:00:00,-314.3599999999999,ladder_stop_hard_stop
2025-05-14T00:00:00,SPY,548.0,543.0,,0.5805999999999998,582.5170288085938,18.6200008392334,,,normal,uptrend,,,2025-05-15T00:00:00,14.239999999999975,ladder_tier_3
2025-05-14T00:00:00,SPY,548.0,543.0,,0.5805999999999998,582.5170288085938,18.6200008392334,,,normal,uptrend,,,2025-05-20T00:00:00,25.59999999999998,ladder_trailing
2025-06-04T00:00:00,SPY,555.0,550.0,35.0,0.4921,590.7849731445312,17.610000610351562,1803.16,1803.16,normal,uptrend,bt_ladder_4,4.0,2025-06-05T00:00:00,-50.040000000000084,ladder_stop_hard_stop
2025-06-13T00:00:00,SPY,556.0,551.0,,0.6966999999999999,591.8457641601562,20.81999969482422,,,normal,uptrend,,,2025-06-16T00:00:00,29.389999999999993,ladder_tier_3
2025-06-13T00:00:00,SPY,556.0,551.0,,0.6966999999999999,591.8457641601562,20.81999969482422,,,normal,uptrend,,,2025-06-17T00:00:00,3.5599999999999854,ladder_trailing
2025-05-14T00:00:00,SPY,548.0,543.0,35.0,0.5805999999999998,582.5170288085938,18.6200008392334,1767.7600000000002,1767.7600000000002,normal,uptrend,bt_ladder_3,2.0,2025-06-18T00:00:00,116.11999999999996,expiration
2025-06-25T00:00:00,SPY,567.0,562.0,,0.4347000000000001,603.65771484375,16.760000228881836,,,normal,uptrend,,,2025-06-26T00:00:00,12.920000000000009,ladder_tier_3
2025-06-25T00:00:00,SPY,567.0,562.0,,0.4347000000000001,603.65771484375,16.760000228881836,,,normal,uptrend,,,2025-07-03T00:00:00,37.000000000000014,ladder_max_profit
2025-07-07T00:00:00,SPY,580.0,575.0,,0.5137,617.140380859375,17.790000915527344,,,normal,uptrend,,,2025-07-08T00:00:00,7.080000000000009,ladder_tier_2
2025-07-07T00:00:00,SPY,580.0,575.0,,0.5137,617.140380859375,17.790000915527344,,,normal,uptrend,,,2025-07-09T00:00:00,22.210000000000008,ladder_tier_3
2025-07-16T00:00:00,SPY,583.0,578.0,,0.4639,620.66015625,17.15999984741211,,,normal,uptrend,,,2025-07-17T00:00:00,13.980000000000004,ladder_tier_3
2025-06-13T00:00:00,SPY,556.0,551.0,35.0,0.6966999999999999,591.8457641601562,20.81999969482422,1721.3200000000002,1721.3200000000002,normal,uptrend,bt_ladder_5,2.0,2025-07-18T00:00:00,139.33999999999997,expiration
2025-07-16T00:00:00,SPY,583.0,578.0,,0.4639,620.66015625,17.15999984741211,,,normal,uptrend,,,2025-07-25T00:00:00,40.4,ladder_max_profit
2025-06-25T00:00:00,SPY,567.0,562.0,35.0,0.4347000000000001,603.65771484375,16.760000228881836,1826.12,1826.12,normal,uptrend,bt_ladder_6,2.0,2025-07-30T00:00:00,86.94000000000001,expiration
2025-08-05T00:00:00,SPY,587.0,582.0,,0.5235999999999998,624.3887329101562,17.850000381469727,,,normal,sideways,,,2025-08-06T00:00:00,19.279999999999987,ladder_tier_3
2025-07-07T00:00:00,SPY,580.0,575.0,35.0,0.5137,617.140380859375,17.790000915527344,1794.52,1794.52,normal,uptrend,bt_ladder_7,2.0,2025-08-11T00:00:00,102.74000000000001,expiration
2025-08-05T00:00:00,SPY,587.0,582.0,,0.5235999999999998,624.3887329101562,17.850000381469727,,,normal,sideways,,,2025-08-11T00:00:00,33.54999999999998,ladder_trailing
2025-07-16T00:00:00,SPY,583.0,578.0,35.0,0.4639,620.66015625,17.15999984741211,1814.44,1814.44,normal,uptrend,bt_ladder_8,2.0,2025-08-20T00:00:00,92.78,expiration
2025-09-04T00:00:00,SPY,607.0,602.0,,0.36019999999999996,645.4181518554688,15.300000190734863,,,normal,uptrend,,,2025-09-08T00:00:00,5.829999999999991,ladder_tier_3
2025-08-05T00:00:00,SPY,587.0,582.0,35.0,0.5235999999999998,624.3887329101562,17.850000381469727,1790.56,1790.56,normal,sideways,bt_ladder_9,2.0,2025-09-09T00:00:00,104.71999999999997,expiration
2025-09-04T00:00:00,SPY,607.0,602.0,,0.36019999999999996,645.4181518554688,15.300000190734863,,,normal,uptrend,,,2025-09-16T00:00:00,26.02,ladder_trailing
2025-09-15T00:00:00,SPY,618.0,613.0,,0.3871000000000001,657.1409301757812,15.6899995803833,,,normal,uptrend,,,2025-09-18T00:00:00,6.800000000000017,ladder_tier_3
2025-09-15T00:00:00,SPY,618.0,613.0,,0.3871000000000001,657.1409301757812,15.6899995803833,,,normal,uptrend,,,2025-09-23T00:00:00,13.620000000000015,ladder_trailing
2025-09-24T00:00:00,SPY,620.0,615.0,35.0,0.4231999999999999,659.1522216796875,16.18000030517578,1830.7200000000003,1830.7200000000003,normal,uptrend,bt_ladder_12,4.0,2025-09-25T00:00:00,-40.480000000000025,ladder_stop_hard_stop
2025-10-03T00:00:00,SPY,627.0,622.0,,0.4404999999999999,667.2384033203125,16.649999618530273,,,normal,uptrend,,,2025-10-06T00:00:00,11.059999999999981,ladder_tier_3
2025-10-03T00:00:00,SPY,627.0,622.0,,0.4404999999999999,667.2384033203125,16.649999618530273,,,normal,uptrend,,,2025-10-07T00:00:00,1.7899999999999805,ladder_trailing
2025-09-04T00:00:00,SPY,607.0,602.0,35.0,0.36019999999999996,645.4181518554688,15.300000190734863,1855.92,1855.92,normal,uptrend,bt_ladder_10,2.0,2025-10-09T00:00:00,72.03999999999999,expiration
2025-10-14T00:00:00,SPY,621.0,616.0,,0.7241,660.2789306640625,20.809999465942383,,,normal,sideways,,,2025-10-15T00:00:00,10.129999999999972,ladder_tier_2
2025-10-14T00:00:00,SPY,621.0,616.0,35.0,0.7241,660.2789306640625,20.809999465942383,1710.3600000000001,1710.3600000000001,normal,sideways,bt_ladder_14,3.0,2025-10-16T00:00:00,-52.420000000000044,ladder_stop_tier_2
2025-09-15T00:00:00,SPY,618.0,613.0,35.0,0.3871000000000001,657.1409301757812,15.6899995803833,1845.1599999999999,1845.1599999999999,normal,uptrend,bt_ladder_11,2.0,2025-10-20T00:00:00,77.42000000000002,expiration
2025-10-23T00:00:00,SPY,630.0,625.0,,0.5,669.7808837890625,17.299999237060547,,,normal,choppy,,,2025-10-24T00:00:00,18.930000000000003,ladder_tier_3
2025-10-23T00:00:00,SPY,630.0,625.0,,0.5,669.7808837890625,17.299999237060547,,,normal,choppy,,,2025-10-29T00:00:00,35.92,ladder_trailing
2025-11-03T00:00:00,SPY,640.0,635.0,35.0,0.4707000000000001,681.3267822265625,17.170000076293945,1811.72,1811.72,normal,uptrend,bt_ladder_16,4.0,2025-11-04T00:00:00,-131.67999999999998,ladder_stop_hard_stop
2025-10-03T00:00:00,SPY,627.0,622.0,35.0,0.4404999999999999,667.2384033203125,16.649999618530273,1823.8,1823.8,normal,uptrend,bt_ladder_13,2.0,2025-11-07T00:00:00,88.09999999999998,expiration
2025-11-12T00:00:00,SPY,640.0,635.0,35.0,0.49239999999999995,681.3666381835938,17.510000228881836,1803.04,1803.04,normal,uptrend,bt_ladder_17,4.0,2025-11-13T00:00:00,-190.32000000000016,ladder_stop_hard_stop
2025-11-21T00:00:00,SPY,608.0,598.0,,1.5169000000000001,657.08837890625,23.43000030517578,,,high_vol,downtrend,,,2025-11-24T00:00:00,73.34,ladder_tier_3
2025-11-21T00:00:00,SPY,608.0,598.0,,1.5169000000000001,657.08837890625,23.43000030517578,,,high_vol,downtrend,,,2025-11-26T00:00:00,129.09,ladder_max_profit
2025-10-23T00:00:00,SPY,630.0,625.0,35.0,0.5,669.7808837890625,17.299999237060547,1800.0,1800.0,normal,choppy,bt_ladder_15,2.0,2025-11-28T00:00:00,100.0,expiration
2025-12-03T00:00:00,SPY,641.0,636.0,,0.4094,681.8751220703125,16.079999923706055,,,normal,sideways,,,2025-12-04T00:00:00,4.409999999999991,ladder_tier_2
2025-12-03T00:00:00,SPY,641.0,636.0,,0.4094,681.8751220703125,16.079999923706055,,,normal,sideways,,,2025-12-05T00:00:00,10.660000000000004,ladder_tier_3
2025-12-12T00:00:00,SPY,639.0,634.0,35.0,0.3862000000000001,679.7514038085938,15.739999771118164,1845.5199999999998,1845.5199999999998,normal,sideways,bt_ladder_20,4.0,2025-12-17T00:00:00,-136.4799999999999,ladder_stop_hard_stop
2025-12-03T00:00:00,SPY,641.0,636.0,35.0,0.4094,681.8751220703125,16.079999923706055,1836.24,1836.24,normal,sideways,bt_ladder_19,2.0,2026-01-07T00:00:00,81.88,expiration
2025-11-21T00:00:00,SPY,608.0,598.0,50.0,1.5169000000000001,657.08837890625,23.43000030517578,3393.2400000000002,3393.2400000000002,high_vol,downtrend,bt_ladder_18,2.0,2026-01-12T00:00:00,303.38000000000005,expiration
2026-01-14T00:00:00,SPY,649.0,644.0,,0.45589999999999997,690.3599853515625,16.75,,,normal,sideways,,,2026-01-15T00:00:00,11.340000000000005,ladder_tier_3
2026-01-14T00:00:00,SPY,649.0,644.0,,0.45589999999999997,690.3599853515625,16.75,,,normal,sideways,,,2026-01-20T00:00:00,-50.05,ladder_trailing
2026-01-26T00:00:00,SPY,651.0,646.0,,0.4102,692.72998046875,16.149999618530273,,,normal,sideways,,,2026-01-27T00:00:00,5.710000000000004,ladder_tier_2
2026-01-26T00:00:00,SPY,651.0,646.0,,0.4102,692.72998046875,16.149999618530273,,,normal,sideways,,,2026-01-28T00:00:00,6.899999999999995,ladder_tier_3
2026-02-04T00:00:00,SPY,645.0,640.0,35.0,0.5792999999999999,686.1900024414062,18.639999389648438,1768.28,1768.28,normal,sideways,bt_ladder_23,4.0,2026-02-05T00:00:00,-168.76000000000033,ladder_stop_hard_stop
2026-02-13T00:00:00,SPY,641.0,636.0,,0.7081,681.75,20.600000381469727,,,normal,sideways,,,2026-02-17T00:00:00,11.26999999999998,ladder_tier_3
2026-01-14T00:00:00,SPY,649.0,644.0,35.0,0.45589999999999997,690.3599853515625,16.75,1817.64,1817.64,normal,sideways,bt_ladder_21,2.0,2026-02-18T00:00:00,91.17999999999999,expiration
2026-02-13T00:00:00,SPY,641.0,636.0,,0.7081,681.75,20.600000381469727,,,normal,sideways,,,2026-02-19T00:00:00,19.069999999999965,ladder_trailing
2026-02-25T00:00:00,SPY,652.0,647.0,35.0,0.5448999999999999,693.1500244140625,17.93000030517578,1782.04,1782.04,normal,sideways,bt_ladder_25,4.0,2026-02-26T00:00:00,-52.67999999999988,ladder_stop_hard_stop
2026-01-26T00:00:00,SPY,651.0,646.0,35.0,0.4102,692.72998046875,16.149999618530273,1835.92,1835.92,normal,sideways,bt_ladder_22,2.0,2026-02-26T00:00:00,41.02,end_of_backtest
2026-02-13T00:00:00,SPY,641.0,636.0,35.0,0.7081,681.75,20.600000381469727,1716.76,1716.76,normal,sideways,bt_ladder_24,2.0,2026-02-26T00:00:00,70.81,end_of_backtest
